"","states","year","party","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC","population"
"90","PUNJAB",2014,"NDA",2.76852969343749,3.11865665597131,0.353736518848598,3.54097474480076,5.5948122879115,0.115505802073012,0.490899658810299,0,277.04236
"91","PUNJAB",2015,"NDA",2.53029897666191,3.19084778226694,0.44758498303292,3.19806689489651,6.11458839724005,0.0902389078695403,0.555871672476368,0,277.04236
"92","RAJASTHAN",2009,"UPA",2.03290502331851,2.43802874839561,0.11658236692866,2.21360769205794,4.18239241356569,0.0772358180902374,0.0830649364366704,0,686.21012
"93","RAJASTHAN",2010,"UPA",2.07079429257033,2.26898431634905,0.151557077007258,2.28938623056157,4.34997956602564,0.0539193447045054,0.122411485275093,0,686.21012
"94","RAJASTHAN",2011,"UPA",2.12908547603466,2.28209983262852,0.145727958660825,2.62310325589486,4.66912379549284,0.0408038284250311,0.104924130235794,0,686.21012
"95","RAJASTHAN",2012,"UPA",2.12908547603466,2.24129600420349,0.142813399487609,2.98596587296031,4.72595769937057,0.0451756671848559,0.107838689409011,0,686.21012
"96","RAJASTHAN",2013,"UPA",2.29230078973478,2.42199867294292,0.12532604444831,4.78716344200811,7.26599601882875,0.0859794956098869,0.0888940547831035,0,686.21012
"97","RAJASTHAN",2014,"NDA",2.38556668327771,2.61435957837521,0.118039646515269,5.47791396606043,8.26423253565541,0.0932658935429282,0.160300754526908,2.49049081351351,686.21012
"98","RAJASTHAN",2015,"NDA",2.28647167138835,2.39722491997058,0.100552291475969,5.31032681360048,7.90719903693638,0.0990950118893612,0.113667807755444,2.49194809310011,686.21012
"99","TAMIL NADU",2009,"UPA",2.46191523864262,3.22294646950681,0.0360415519170654,0.826183267021961,1.90188497039284,0.134462712921359,0.0471312601992394,0.159414556556251,721.38958
"100","TAMIL NADU",2010,"UPA",2.59915037863452,3.66098994665268,0.0443588331286959,0.950942485196418,2.3842872806674,0.117828150498098,0.0166345624232609,0.124759218174457,721.38958
"101","TAMIL NADU",2011,"UPA",2.60192280570507,4.10596449147491,0.0388139789876089,0.938466563378972,2.75024765397914,0.140007567062446,0.0152483488879892,0.0984211610042939,721.38958
"102","TAMIL NADU",2012,"UPA",2.70173018024463,4.09487478319274,0.0609933955519568,1.02163937549528,2.69618532610355,0.134462712921359,0.0263380571701632,0.17466290544424,721.38958
"103","TAMIL NADU",2013,"UPA",2.6837094042861,4.16834410056214,0.0457450466639676,1.27947509305582,2.46607387924844,0.115055723427555,0.076241744439946,0.170504264838425,721.38958
"104","TAMIL NADU",2014,"UPA",2.5021154311655,4.05051595006404,0.0693106767635873,0.630727158548644,2.42032883258447,0.140007567062446,0.102579801610109,0.203773389684947,721.38958
"105","TAMIL NADU",2015,"UPA",2.42310125965501,4.06853672602257,0.081786598581033,0.583595898349405,2.22210029704061,0.128917858780272,0.11089708282174,0.18298018665587,721.38958
"106","TRIPURA",2011,"UPA",4.4401683232399,2.04302223461958,0,5.58426077462686,4.19500565508555,0.299643261077539,0,141.159216263982,36.71032
"107","TRIPURA",2012,"UPA",3.37779676123771,2.15198342046596,0.0544805929231889,6.23802788970513,3.78640120816163,0.190682075231161,0,151.428808030004,36.71032
"108","TRIPURA",2013,"UPA",3.86812209754641,1.60717749123407,0.0272402964615944,6.34698907555151,3.9226026904696,0.24516266815435,0.0272402964615944,176.380919588824,36.71032
"109","UTTARAKHAND",2009,"NDA",1.92749609756175,1.82865014384063,0.504114363977688,1.09719008630438,2.71826372733067,0.345960838023903,0.0691921676047807,0.0296537861163346,101.16752
"110","UTTARAKHAND",2010,"NDA",1.73968878549163,2.16472638649242,0.593075722326691,1.19603604002549,2.8269942764239,0.118615144465338,0.019769190744223,0.00988459537211152,101.16752
"111","UTTARAKHAND",2011,"NDA",1.75945797623585,1.86818852532908,0.533768150094022,1.27511280300239,3.10376294684302,0.12849973983745,0.00988459537211152,12.9685891282103,101.16752
"112","UTTARAKHAND",2012,"NDA",2.1449571957482,1.59141985490996,0.434922196372907,1.46292011507251,2.93572482551712,0.286653265791234,0.0296537861163346,16.1217750519139,101.16752
