"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate"
"199",199,"Tripura",6.55,1,2015,0,0.1526717557,"u",36.71032,17.8423941823444,144,3.9226026904696
"200",200,"Tripura",6.55,0,2016,-100,0,"u",36.71032,17.8423941823444,145,3.94984298693119
"201",201,"Uttarakhand",18.93,58,2009,NA,3.0639197042,"n",101.16,18.7129300118624,195,1.9276393831554
"202",202,"Uttarakhand",18.93,35,2010,-39.6551724138,1.8489170629,"n",101.16,18.7129300118624,176,1.73981810992487
"203",203,"Uttarakhand",18.93,32,2011,-8.5714285714,1.6904384575,"n",101.16,18.7129300118624,178,1.75958877026493
"204",204,"Uttarakhand",18.93,33,2012,3.125,1.7432646593,"n",101.16,18.7129300118624,217,2.14511664689601
"205",205,"Uttarakhand",18.93,34,2013,3.0303030303,1.7960908611,"u",101.16,18.7129300118624,197,1.94741004349545
"206",206,"Uttarakhand",18.93,60,2014,76.4705882353,3.1695721078,"u",101.16,18.7129300118624,218,2.15500197706603
"207",207,"Uttarakhand",18.93,80,2015,33.3333333333,4.2260961437,"u",101.16,18.7129300118624,192,1.89798339264531
"208",208,"Uttarakhand",18.93,65,2016,-18.75,3.4337031167,"u",101.16,18.7129300118624,194,1.91775405298537
"209",209,"Uttar Pradesh",413.58,7522,2009,NA,18.1875332463,"u",1995.81,20.7224134561907,4534,2.27175933580852
"210",210,"Uttar Pradesh",413.58,6272,2010,-16.6179207658,15.1651433822,"u",1995.81,20.7224134561907,4401,2.2051197258256
"211",211,"Uttar Pradesh",413.58,7702,2011,22.799744898,18.6227573867,"u",1995.81,20.7224134561907,4951,2.48069706034142
"212",212,"Uttar Pradesh",413.58,6202,2012,-19.4754609192,14.9958895498,"u",1995.81,20.7224134561907,4966,2.48821280582821
"213",213,"Uttar Pradesh",413.58,7078,2013,14.1244759755,17.1139803666,"u",1995.81,20.7224134561907,5047,2.5287978314569
"214",214,"Uttar Pradesh",413.58,8066,2014,13.9587454083,19.5028773152,"u",1995.81,20.7224134561907,5150,2.58040595046623
"215",215,"Uttar Pradesh",413.58,8357,2015,3.6077361765,20.2064896755,"u",1995.81,20.7224134561907,4732,2.37096717623421
"216",216,"Uttar Pradesh",413.58,10426,2016,24.7576881656,25.2091493786,"u",1995.81,20.7224134561907,4889,2.449631978996
"217",217,"West Bengal",214.63,21,2009,NA,0.0978427992,"u",913.47736,23.4959298827067,2068,2.26387657817814
"218",218,"West Bengal",214.63,63,2010,200,0.2935283977,"u",913.47736,23.4959298827067,2398,2.62513347895125
"219",219,"West Bengal",214.63,59,2011,-6.3492063492,0.274891674,"u",913.47736,23.4959298827067,2109,2.30876001130449
"220",220,"West Bengal",214.63,85,2012,44.0677966102,0.3960303779,"u",913.47736,23.4959298827067,2252,2.46530466830617
"221",221,"West Bengal",214.63,115,2013,35.2941176471,0.5358058053,"u",913.47736,23.4959298827067,2264,2.47844128287974
"222",222,"West Bengal",214.63,130,2014,13.0434782609,0.6056935191,"u",913.47736,23.4959298827067,2217,2.4269895424666
"223",223,"West Bengal",214.63,150,2015,15.3846153846,0.6988771374,"u",913.47736,23.4959298827067,2096,2.2945286788498
"224",224,"West Bengal",214.63,119,2016,-20.6666666667,0.554442529,"u",913.47736,23.4959298827067,2044,2.237603349031
